id,title,is_paid,num_subscribers,avg_rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,created_year,created_month,published_year,published_month,Rating_recent,Actual_Price
332986,Making an Impact as a Manager,True,190,4.0,11,False,14,0,0.0,1280,2014,10,2014,11,4,1280.0
14219,Building Your Platform,True,30,3.55,11,False,5,0,455.0,3200,2012,2,2012,2,4,2745.0
2118494,Creative Thinking Simplified,True,1920,3.55,11,False,9,0,455.0,1280,2018,12,2019,1,4,825.0
2858276,Sports Card Investing & Collecting Course : Beginner to Pro!,True,23,4.72727,11,False,28,0,455.0,8640,2020,3,2020,8,5,8185.0
3408068,How to Build Successful API Products?,True,72,3.86364,11,False,33,0,455.0,6400,2020,8,2020,8,4,5945.0
3346632,Solar Energy Powered Photovoltaic Water Pump System Bootcamp,True,636,4.18182,11,False,23,0,455.0,6400,2020,7,2020,7,4,5945.0
427508,Successful Leadership Skills in the Information Age,True,1928,4.15,11,False,14,0,455.0,8640,2015,2,2015,3,4,8185.0
414172,Flawless Webinar Hosting: Gain Confidence And Effectiveness!,True,1486,4.7,11,False,26,0,455.0,8640,2015,2,2015,6,5,8185.0
123890,Cross the Chasm to Sales Growth in Your Start Up,True,987,4.6,11,False,13,0,455.0,1280,2013,11,2013,11,5,825.0
1664384,DISCovering Communication Styles,True,64,3.75,11,False,16,0,455.0,8640,2018,4,2018,6,4,8185.0
274586,Get Your Epic Article or Book DONE (Finally!),True,433,4.2,11,False,12,0,455.0,2240,2014,8,2014,9,4,1785.0
64092,Using Your Data to Grow Your Business,True,5050,3.4,11,False,10,0,455.0,1280,2013,7,2013,7,3,825.0
174556,"Learn how to write academic essays, including thesis papers",True,119,4.25,11,False,8,0,455.0,1280,2014,2,2014,3,4,825.0
1127968,Text Mining -  Learn it from Scratch Using Case Study in R!,True,538,3.7,11,False,12,0,455.0,8640,2017,2,2019,1,4,8185.0
1635442,Learn Forex Trading In Two Weeks​,True,538,4.1,11,False,11,0,0.0,2880,2018,4,2018,5,4,2880.0
1450366,Outsource Activation Program,True,68,4.5,11,False,49,0,455.0,8640,2017,11,2018,4,5,8185.0
1418854,Financial Advisor Training: Closing Sales Skills Pro(Part 1),True,133,4.65,11,False,31,0,455.0,8640,2017,11,2018,2,5,8185.0
495944,How to Turn any HD Video into a Kindle Book in one day,True,580,3.85,11,False,27,0,720.0,2880,2015,5,2015,7,4,2160.0
1575186,Introduction to Financial Management,True,28,3.55,11,False,16,0,455.0,1600,2018,2,2018,3,4,1145.0
1639902,"T-Shirt, WordPress, SEO, MailChimp, Steemit Complete Course!",True,1944,3.25,11,False,197,0,455.0,1280,2018,4,2018,4,3,825.0
1694490,Important Basics for Net Present Value & Time Value of Money,True,35,4.2,11,False,7,0,455.0,1600,2018,5,2018,6,4,1145.0
2491192,How to Start a Business - The Practical Guide,True,71,4.45,11,False,42,0,0.0,11840,2019,8,2019,9,4,11840.0
2994640,Project Management Essentials,True,46,4.5,11,False,71,0,455.0,8640,2020,4,2020,6,4,8185.0
2552975,Setup Google Analytics for Shopify The Right Way,True,3716,4.65,11,False,18,0,455.0,8640,2019,9,2019,12,5,8185.0
2459658,Ace the Real Estate License Exam,True,137,3.5,11,False,0,5,455.0,1280,2019,7,2019,7,3,825.0
2810313,Exec 901: Introduction to Management with Slimf it Method,True,22,5.0,11,False,8,1,455.0,8640,2020,2,2020,4,5,8185.0
2598868,How to start a restaurant business (UK),True,34,4.6,11,False,16,0,455.0,1600,2019,10,2019,10,5,1145.0
49559,Promote a Udemy Course Using Google Adwords - Unofficial,True,276,4.5,10,False,27,0,455.0,3200,2013,4,2013,5,4,2745.0
328842,Learn to invest in the Stock Market,True,40,3.8,10,False,14,0,455.0,1280,2014,10,2014,11,4,825.0
197288,Simple But Effective Ways Of Creating E-Learning Material,True,1086,2.9,10,False,19,0,455.0,1280,2014,4,2014,4,3,825.0
725658,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,True,164,4.4,10,False,27,0,455.0,1920,2016,1,2016,1,4,1465.0
875538,Proven Product Market Research Updated for 2020!,True,1537,3.65,10,False,89,0,455.0,2880,2016,6,2016,11,4,2425.0
464764,Udemy Instructor Guide: Record & Market Courses - Unofficial,True,2433,4.05,10,False,18,0,455.0,1280,2015,4,2015,4,4,825.0
1294196,How To Maximize Your First Two Years As A New Supervisor,True,47,4.5,10,False,16,0,455.0,1280,2017,7,2017,7,4,825.0
1592964,Masterclass: How to Start a Make-up Artistry Business,True,852,4.85,10,False,40,0,455.0,6400,2018,3,2018,4,5,5945.0
1251048,Closing More Sales - 'Your Customer Can Sell to Themselves'!,True,48,4.4,10,False,29,0,455.0,6400,2017,6,2017,10,4,5945.0
627800,2020 - 5 Steps To Turn Your Idea Into A Profitable Business,True,2543,4.5,10,False,38,0,455.0,1280,2015,10,2015,11,4,825.0
921694,Self-branding For Retail Managers,True,29,3.85,10,False,11,0,455.0,1600,2016,8,2016,10,4,1145.0
648020,Fundraising With a PLAN- Learn to Create a Development Plan,True,63,4.35,10,False,7,0,455.0,1280,2015,10,2016,1,4,825.0
1034326,Presenting Under Stress: Presentation Skills Fundamentals,True,1005,4.2,10,False,29,0,455.0,2240,2016,12,2016,12,4,1785.0
